name,description
Fantasy Adventure,Fantasy adventure books
Dystopian Fiction,Novels in a dystopian setting
Post-Apocalyptic Fiction,Post-apocalyptic novels
Mystery Thriller,Mystery thriller novels
Self-Help,Self-help books
Philosophical Fiction,Philosophical novels
Military Strategy,Books on military strategy and tactics
Coming-of-Age,Coming-of-age novels
Modernist Fiction,Modernist literature
Personal Development,Books on personal development and character
Contemporary Fiction,Contemporary novels
Historical Fiction,Historical novels
Psychological Thriller,Psychological thriller novels
Science Fiction,Science fiction novels
Memoir,Books on personal memoirs and experiences
Social Justice,Books on social justice and equality
Political Fiction,Political fiction novels
Totalitarianism,Books on totalitarianism and dystopian societies
Historical Romance,Romantic novels set in historical periods
Literary Fiction,Literary fiction novels
Feminist Literature,Feminist literature and gender studies
Social Commentary,Books offering social commentary and critique
Teenage Angst,Coming-of-age novels with themes of teenage angst
Epic Fantasy,Epic fantasy novels and series
Religious Conspiracy,Books exploring religious conspiracies and mysteries
Classic Literature,Classic literature books
Romantic Fiction,Romantic novels
Roaring Twenties,Novels set in the Roaring Twenties
